# Type, Year of nomination/win,Production Year;Name (EN);Name (DE)
BEST_MOVIE;1978;1978;The great Train Robbery;Der groﬂe Eisenbahnraub
NOMINATED_MOVIE;1998;1997;L.A. Confidential;L.A. Confidential
